t,wall_time,cpu,util_ema,chosen_freq_khz,freq_idx,est_power_w
18.551,1761992939.3484719,3,0.0029,300000,0,5.0058
18.551,1761992939.3484719,4,0.0,300000,0,5.0
18.551,1761992939.3484719,5,0.0,300000,0,5.0
18.551,1761992939.3484719,6,0.0,300000,0,5.0
18.551,1761992939.3484719,7,0.0,300000,0,5.0
19.052,1761992939.8496377,0,0.0,300000,0,5.0
19.052,1761992939.8496377,1,0.0,300000,0,5.0
19.052,1761992939.8496377,2,0.004,300000,0,5.0079
19.052,1761992939.8496377,3,0.0019,300000,0,5.0038
19.052,1761992939.8496377,4,0.0,300000,0,5.0
19.052,1761992939.8496377,5,0.0,300000,0,5.0
19.052,1761992939.8496377,6,0.0,300000,0,5.0
19.052,1761992939.8496377,7,0.0,300000,0,5.0
19.553,1761992940.3507817,0,0.0,300000,0,5.0
19.553,1761992940.3507817,1,0.0,300000,0,5.0
19.553,1761992940.3507817,2,0.0026,300000,0,5.0052
19.553,1761992940.3507817,3,0.0012,300000,0,5.0025
19.553,1761992940.3507817,4,0.0,300000,0,5.0
19.553,1761992940.3507817,5,0.0,300000,0,5.0
19.553,1761992940.3507817,6,0.0,300000,0,5.0
19.553,1761992940.3507817,7,0.0,300000,0,5.0
20.054,1761992940.8521495,0,0.0,300000,0,5.0
20.054,1761992940.8521495,1,0.0,300000,0,5.0
20.054,1761992940.8521495,2,0.0017,300000,0,5.0034
20.054,1761992940.8521495,3,0.0008,300000,0,5.0016
20.054,1761992940.8521495,4,0.0,300000,0,5.0
20.054,1761992940.8521495,5,0.0,300000,0,5.0
20.054,1761992940.8521495,6,0.0,300000,0,5.0
20.054,1761992940.8521495,7,0.0,300000,0,5.0
20.556,1761992941.3536513,0,0.0,300000,0,5.0
20.556,1761992941.3536513,1,0.0,300000,0,5.0
20.556,1761992941.3536513,2,0.008,300000,0,5.0159
20.556,1761992941.3536513,3,0.0005,300000,0,5.001
20.556,1761992941.3536513,4,0.0,300000,0,5.0
20.556,1761992941.3536513,5,0.0,300000,0,5.0
20.556,1761992941.3536513,6,0.0,300000,0,5.0
20.556,1761992941.3536513,7,0.0,300000,0,5.0
21.057,1761992941.8551974,0,0.0,300000,0,5.0
21.057,1761992941.8551974,1,0.0,300000,0,5.0
21.057,1761992941.8551974,2,0.0052,300000,0,5.0103
21.057,1761992941.8551974,3,0.0003,300000,0,5.0007
21.057,1761992941.8551974,4,0.0,300000,0,5.0
21.057,1761992941.8551974,5,0.0067,300000,0,5.0135
21.057,1761992941.8551974,6,0.0,300000,0,5.0
21.057,1761992941.8551974,7,0.0,300000,0,5.0
21.559,1761992942.3565676,0,0.0,300000,0,5.0
21.559,1761992942.3565676,1,0.0,300000,0,5.0
21.559,1761992942.3565676,2,0.0034,300000,0,5.0067
21.559,1761992942.3565676,3,0.0002,300000,0,5.0004
21.559,1761992942.3565676,4,0.0,300000,0,5.0
21.559,1761992942.3565676,5,0.0044,300000,0,5.0088
21.559,1761992942.3565676,6,0.0,300000,0,5.0
21.559,1761992942.3565676,7,0.0,300000,0,5.0
22.06,1761992942.857923,0,0.0,300000,0,5.0
22.06,1761992942.857923,1,0.0,300000,0,5.0
22.06,1761992942.857923,2,0.0022,300000,0,5.0044
22.06,1761992942.857923,3,0.0001,300000,0,5.0003
22.06,1761992942.857923,4,0.0,300000,0,5.0
22.06,1761992942.857923,5,0.0028,300000,0,5.0057
22.06,1761992942.857923,6,0.0,300000,0,5.0
22.06,1761992942.857923,7,0.0,300000,0,5.0
22.561,1761992943.3592534,0,0.0,300000,0,5.0
22.561,1761992943.3592534,1,0.0,300000,0,5.0
22.561,1761992943.3592534,2,0.0084,300000,0,5.0168
22.561,1761992943.3592534,3,0.0001,300000,0,5.0002
22.561,1761992943.3592534,4,0.0,300000,0,5.0
22.561,1761992943.3592534,5,0.0018,300000,0,5.0037
22.561,1761992943.3592534,6,0.0,300000,0,5.0
22.561,1761992943.3592534,7,0.0,300000,0,5.0
23.063,1761992943.8605545,0,0.0,300000,0,5.0
23.063,1761992943.8605545,1,0.0,300000,0,5.0
23.063,1761992943.8605545,2,0.0055,300000,0,5.0109
23.063,1761992943.8605545,3,0.0001,300000,0,5.0001
23.063,1761992943.8605545,4,0.0,300000,0,5.0
23.063,1761992943.8605545,5,0.0012,300000,0,5.0024
23.063,1761992943.8605545,6,0.0,300000,0,5.0
23.063,1761992943.8605545,7,0.0,300000,0,5.0
23.564,1761992944.3619182,0,0.0,300000,0,5.0
23.564,1761992944.3619182,1,0.0,300000,0,5.0
23.564,1761992944.3619182,2,0.0036,300000,0,5.0071
23.564,1761992944.3619182,3,0.0,300000,0,5.0001
23.564,1761992944.3619182,4,0.0,300000,0,5.0
23.564,1761992944.3619182,5,0.0008,300000,0,5.0016
23.564,1761992944.3619182,6,0.0,300000,0,5.0
23.564,1761992944.3619182,7,0.0,300000,0,5.0
24.065,1761992944.8633378,0,0.0,300000,0,5.0
24.065,1761992944.8633378,1,0.0,300000,0,5.0
24.065,1761992944.8633378,2,0.0023,300000,0,5.0046
24.065,1761992944.8633378,3,0.0,300000,0,5.0001
24.065,1761992944.8633378,4,0.0,300000,0,5.0
24.065,1761992944.8633378,5,0.0005,300000,0,5.001
24.065,1761992944.8633378,6,0.0,300000,0,5.0
24.065,1761992944.8633378,7,0.0,300000,0,5.0
24.567,1761992945.3646336,0,0.0,300000,0,5.0
24.567,1761992945.3646336,1,0.0,300000,0,5.0
24.567,1761992945.3646336,2,0.0015,300000,0,5.003
24.567,1761992945.3646336,3,0.0,300000,0,5.0
24.567,1761992945.3646336,4,0.0,300000,0,5.0
24.567,1761992945.3646336,5,0.0003,300000,0,5.0007
24.567,1761992945.3646336,6,0.0,300000,0,5.0
24.567,1761992945.3646336,7,0.0,300000,0,5.0
25.068,1761992945.8658729,0,0.0,300000,0,5.0
25.068,1761992945.8658729,1,0.0,300000,0,5.0
25.068,1761992945.8658729,2,0.001,300000,0,5.002
25.068,1761992945.8658729,3,0.0,300000,0,5.0
25.068,1761992945.8658729,4,0.0,300000,0,5.0
